item,year,gsdp,state
"Real estate, ownership of dwelling & professional services",2015-16,935310,Uttarakhand
Public administration,2011-12,412001,Uttarakhand
Public administration,2012-13,323723,Uttarakhand
Public administration,2013-14,483887,Uttarakhand
Public administration,2014-15,579409,Uttarakhand
Public administration,2015-16,711920,Uttarakhand
Other services,2011-12,498856,Uttarakhand
Other services,2012-13,668947,Uttarakhand
Other services,2013-14,827478,Uttarakhand
Other services,2014-15,982430,Uttarakhand
Other services,2015-16,1255262,Uttarakhand
